Wavenumber;Intensity
2862,5955;0,041964
2864,4591;0,044367
2866,3228;0,046637
2868,1865;0,048331
2870,0501;0,050704
2871,9138;0,053691
2873,7775;0,056054
2875,6411;0,058102
2877,5048;0,059712
2879,3685;0,060760
2881,2321;0,061448
2883,0958;0,061645
2884,9595;0,061144
2886,8232;0,059759
2888,6868;0,057911
2890,5505;0,056325
2892,4142;0,055340
2894,2778;0,054198
2896,1415;0,052810
2898,0052;0,051807
2899,8688;0,051653
2901,7325;0,051865
2903,5962;0,051610
2905,4598;0,051282
2907,3235;0,051203
2909,1872;0,051974
2911,0509;0,053180
2912,9145;0,053337
2914,7782;0,053551
2916,6419;0,053910
2918,5055;0,055034
2920,3692;0,056470
2922,2329;0,057411
2924,0965;0,058468
2925,9602;0,059632
2927,8239;0,060694
2929,6875;0,061529
2931,5512;0,061315
2933,4149;0,060494
2935,2785;0,059524
2937,1422;0,057882
2939,0059;0,055555
2940,8696;0,053202
2942,7332;0,051085
2944,5969;0,049372
2946,4606;0,048932
2948,3242;0,050207
2950,1879;0,052573
2952,0516;0,057864
2953,9152;0,066993
2955,7789;0,077602
2957,6426;0,090314
2959,5062;0,108499
2961,3699;0,131471
2963,2336;0,155682
2965,0972;0,179017
2966,9609;0,198907
2968,8246;0,208827
2970,6883;0,204018
2972,5519;0,187380
2974,4156;0,163511
2976,2793;0,137829
2978,1429;0,114297
2980,0066;0,093669
2981,8703;0,075344
2983,7339;0,059499
2985,5976;0,047084
2987,4613;0,038711
2989,3249;0,032674
2991,1886;0,028222
